party,member,chamber,state,ticker,type,transaction_date,filing_date,amount,lag_days
D,Justin Amash,House,MI,DIS,P,2018-08-01,2018-08-02,,1
D,Justin Amash,House,MI,AMZN,P,2018-11-01,2018-11-13,,12
D,Earl Blumenauer,House,OR,DNB,S,2018-07-06,2018-07-12,8000.5,6
D,Earl Blumenauer,House,OR,TAP,P,2018-07-09,2018-07-12,8000.5,3
D,Cheri Bustos,House,IL,BRK.B,P,2018-09-27,2018-10-12,,15
D,Cheri Bustos,House,IL,BRK.B,P,2018-10-01,2018-11-03,,33
D,Judy Chu,House,CA,DFS,S,2018-10-10,2018-10-18,,8
D,Katherine M. Clark,House,MA,APC,P,2018-07-06,2018-10-04,8000.5,90
D,Katherine M. Clark,House,MA,AMCX,P,2018-10-01,2018-11-19,8000.5,49
D,Katherine M. Clark,House,MA,CHKP,S,2018-10-01,2018-11-19,8000.5,49
D,Katherine M. Clark,House,MA,INTC,P,2018-10-01,2018-11-19,8000.5,49
D,Katherine M. Clark,House,MA,SEE,P,2018-10-01,2018-11-19,8000.5,49
D,Katherine M. Clark,House,MA,SEE,S,2018-10-01,2018-11-19,8000.5,49
D,Steve Cohen,House,TN,FDRR,P,2018-08-29,2018-09-11,,13
R,K. Michael Conaway,House,TX,NOC,P,2018-04-23,2018-05-10,8000.5,17
R,K. Michael Conaway,House,TX,GE,P,2018-08-28,2018-09-04,8000.5,7
R,Carlos Curbelo,House,FL,TJX,S,2017-10-10,2018-08-01,,295
R,Carlos Curbelo,House,FL,BUD,P,2018-06-08,2018-08-02,8000.5,55
R,Carlos Curbelo,House,FL,BMY,S,2018-06-08,2018-08-02,8000.5,55
R,Carlos Curbelo,House,FL,BMY,P,2018-04-06,2018-08-02,8000.5,118
R,Carlos Curbelo,House,FL,VLUE,P,2018-04-06,2018-08-02,,118
R,Carlos Curbelo,House,FL,IWF,S,2018-04-06,2018-08-02,,118
R,Carlos Curbelo,House,FL,MSFT,P,2018-04-06,2018-08-02,8000.5,118
R,Carlos Curbelo,House,FL,XLE,S,2018-04-06,2018-08-02,8000.5,118
R,Carlos Curbelo,House,FL,XLF,S,2018-04-06,2018-08-02,8000.5,118
R,Carlos Curbelo,House,FL,UNP,P,2018-04-06,2018-08-02,8000.5,118
R,Carlos Curbelo,House,FL,EMLC,P,2018-04-06,2018-08-02,8000.5,118
R,Carlos Curbelo,House,FL,BLK,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,CNC,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,CL,S,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,ECL,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,FLEX,S,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,HII,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,ICE,S,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,IFF,P,2018-08-29,2018-09-25,8000.5,27
R,Carlos Curbelo,House,FL,QQQ,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,IJR,S,2018-08-08,2018-09-25,8000.5,48
R,Carlos Curbelo,House,FL,IJR,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,VLUE,S,2018-08-08,2018-09-25,8000.5,48
R,Carlos Curbelo,House,FL,VLUE,S,2018-08-28,2018-09-25,,28
R,Carlos Curbelo,House,FL,KSU,S,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,LII,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,MKC,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,MSFT,S,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,NTRS,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,PH,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,SEE,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,SCI,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,SSNC,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,FTI,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,TRIP,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,UTX,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,UNH,P,2018-08-28,2018-09-25,8000.5,28
R,Carlos Curbelo,House,FL,EMLC,S,2018-08-28,2018-09-25,8000.5,28
D,Susan A. Davis,House,CA,VSM,P,2018-10-24,2018-11-16,,23
D,Suzan K. DelBene,House,WA,MSFT,S,2018-07-27,2018-08-29,8000.5,33
D,Suzan K. DelBene,House,WA,MSFT,P,2018-08-29,2018-09-14,,16
D,Suzan K. DelBene,House,WA,MSFT,P,2018-09-28,2018-10-16,8000.5,18
D,Debbie Dingell,House,MI,VOD,P,2018-04-09,2018-04-18,8000.5,9
D,Debbie Dingell,House,MI,CCI,P,2018-04-20,2018-04-26,,6
D,Debbie Dingell,House,MI,EPD,P,2018-05-08,2018-05-16,8000.5,8
D,Debbie Dingell,House,MI,PEP,P,2018-05-23,2018-06-03,,11
D,Debbie Dingell,House,MI,VLO,P,2018-06-04,2018-06-19,8000.5,15
D,Debbie Dingell,House,MI,JCI,P,2018-07-12,2018-07-24,8000.5,12
D,Debbie Dingell,House,MI,QCOM,P,2018-07-26,2018-08-01,,6
D,Debbie Dingell,House,MI,CBS,P,2018-07-30,2018-08-09,,10
D,Debbie Dingell,House,MI,VLO,P,2018-07-30,2018-08-09,8000.5,10
D,Debbie Dingell,House,MI,NYLD,S,2018-08-21,2018-09-06,,16
D,Debbie Dingell,House,MI,PX,P,2018-10-01,2018-10-11,,10
D,Debbie Dingell,House,MI,SBUX,E,2018-10-19,2018-10-30,,11
D,Debbie Dingell,House,MI,WBA,S,2018-10-24,2018-10-30,,6
D,Debbie Dingell,House,MI,REZI,P,2018-10-31,2018-11-19,8000.5,19
D,Debbie Dingell,House,MI,REZI,S,2018-11-01,2018-11-19,8000.5,18
D,Lloyd Doggett,House,TX,IBM,P,2018-09-05,2018-10-05,8000.5,30
D,Dwight Evans,House,PA,JPM,P,2018-08-17,2018-09-26,8000.5,40
D,Dwight Evans,House,PA,MIC,P,2018-08-17,2018-09-26,8000.5,40
D,Dwight Evans,House,PA,MSFT,P,2018-08-17,2018-09-26,8000.5,40
D,Dwight Evans,House,PA,TIS,S,2018-08-17,2018-09-26,8000.5,40
D,Dwight Evans,House,PA,TMO,P,2018-08-17,2018-09-26,8000.5,40
R,Greg Gianforte,House,MT,SHPG,S,2018-05-10,2018-05-21,,11
R,Greg Gianforte,House,MT,AMN,P,2018-06-07,2018-06-15,,8
R,Greg Gianforte,House,MT,EVH,P,2018-06-07,2018-06-15,,8
R,Greg Gianforte,House,MT,LII,S,2018-06-07,2018-06-15,,8
R,Greg Gianforte,House,MT,TMSNY,P,2018-06-07,2018-06-15,,8
R,Greg Gianforte,House,MT,IFF,P,2018-07-27,2018-07-30,,3
R,Greg Gianforte,House,MT,UNFI,S,2018-07-27,2018-07-30,,3
R,Greg Gianforte,House,MT,HHC,P,2018-08-28,2018-09-07,,10
R,Greg Gianforte,House,MT,WB,P,2018-09-25,2018-10-09,,14
R,Greg Gianforte,House,MT,WST,P,2018-09-25,2018-10-09,,14
R,Greg Gianforte,House,MT,PM,S,2018-10-15,2018-10-22,8000.5,7
R,Greg Gianforte,House,MT,QTS,S,2018-10-15,2018-10-22,8000.5,7
R,Greg Gianforte,House,MT,AQUA,P,2018-10-22,2018-10-29,,7
R,Greg Gianforte,House,MT,AQUA,P,2018-10-23,2018-10-29,,6
R,Greg Gianforte,House,MT,GWRE,P,2018-10-26,2018-10-29,,3
R,Greg Gianforte,House,MT,LABL,P,2018-10-23,2018-10-29,,6
R,Greg Gianforte,House,MT,LABL,P,2018-10-22,2018-10-29,,7
R,Greg Gianforte,House,MT,AQUA,P,2018-11-05,2018-11-15,,10
R,Greg Gianforte,House,MT,KMTUY,P,2018-10-29,2018-11-15,,17
R,Greg Gianforte,House,MT,WPP,P,2018-11-05,2018-11-15,,10
R,Greg Gianforte,House,MT,ELUXY,S,2018-11-21,2018-12-11,8000.5,20
R,Greg Gianforte,House,MT,APNHY,S,2018-11-20,2018-12-11,,21
R,Greg Gianforte,House,MT,ALPMY,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,ATASY,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,ATLKY,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,AIVAF,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,CMWAY,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,CS,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,ELLI,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,AQUA,S,2018-11-21,2018-12-11,,20
R,Greg Gianforte,House,MT,FPAFY,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,FMS,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,GE,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,GWRE,S,2018-11-21,2018-12-11,,20
R,Greg Gianforte,House,MT,HAYN,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,HHC,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,IFNNY,S,2018-11-20,2018-12-11,,21
R,Greg Gianforte,House,MT,INGIY,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,ITVPY,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,JHX,S,2018-11-20,2018-12-11,8000.5,21
R,Greg Gianforte,House,MT,JAPAY,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,KGFHY,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,KNX,S,2018-11-21,2018-12-11,,20
R,Greg Gianforte,House,MT,LYG,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,VAC,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,MTZPY,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,MTSC,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,NVZMY,S,2018-11-20,2018-12-11,,21
R,Greg Gianforte,House,MT,NXPI,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,PCG,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,ROYMY,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,SIR,S,2018-11-20,2018-12-11,8000.5,21
R,Greg Gianforte,House,MT,SNH,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,SKFRY,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,SVNLY,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,TKPYY,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,TI,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,TEF,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,TLSYY,S,2018-11-19,2018-12-11,8000.5,22
R,Greg Gianforte,House,MT,TMSNY,S,2018-11-20,2018-12-11,,21
R,Greg Gianforte,House,MT,KHC,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,VLEEY,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,WSO,S,2018-11-21,2018-12-11,,20
R,Greg Gianforte,House,MT,WCC,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,YAHOY,S,2018-11-19,2018-12-11,,22
R,Greg Gianforte,House,MT,BBAVY,P,2018-11-30,2018-12-29,,29
R,Greg Gianforte,House,MT,CSLLY,P,2018-11-30,2018-12-29,,29
R,Greg Gianforte,House,MT,FMX,P,2018-12-07,2018-12-29,,22
R,Greg Gianforte,House,MT,LIN,P,2018-12-07,2018-12-29,,22
R,Greg Gianforte,House,MT,WTW,P,2018-12-11,2018-12-29,,18
R,Bob Gibbs,House,OH,MSFT,S,2018-04-17,2018-04-24,,7
R,Bob Gibbs,House,OH,SEP,P,2018-04-20,2018-04-24,8000.5,4
R,Bob Gibbs,House,OH,NLY,P,2018-05-24,2018-05-28,8000.5,4
R,Bob Gibbs,House,OH,MSFT,P,2018-05-30,2018-06-09,8000.5,10
R,Bob Gibbs,House,OH,NLY,P,2018-06-13,2018-07-03,8000.5,20
R,Bob Gibbs,House,OH,NLY,S,2018-07-03,2018-07-03,,0
R,Bob Gibbs,House,OH,NLY,P,2018-08-27,2018-09-03,8000.5,7
R,Bob Gibbs,House,OH,NLY,S,2018-09-06,2018-09-19,,13
R,Bob Gibbs,House,OH,UNP,P,2018-10-04,2018-10-04,8000.5,0
D,Josh Gottheimer,House,NJ,CHKP,S,2017-04-06,2018-08-13,8000.5,494
D,Josh Gottheimer,House,NJ,CCI,P,2017-08-18,2018-08-13,8000.5,360
D,Josh Gottheimer,House,NJ,CCI,P,2017-08-17,2018-08-13,8000.5,361
D,Josh Gottheimer,House,NJ,FET,S,2017-04-27,2018-08-13,8000.5,473
D,Josh Gottheimer,House,NJ,GE,S,2017-12-18,2018-08-13,8000.5,238
D,Josh Gottheimer,House,NJ,ILMN,P,2017-09-28,2018-08-13,8000.5,319
D,Josh Gottheimer,House,NJ,IPXL,P,2017-10-31,2018-08-13,8000.5,286
D,Josh Gottheimer,House,NJ,IFNNY,P,2017-11-16,2018-08-13,8000.5,270
D,Josh Gottheimer,House,NJ,IFNNY,P,2017-05-30,2018-08-13,8000.5,440
D,Josh Gottheimer,House,NJ,LNEGY,S,2017-09-22,2018-08-13,8000.5,325
D,Josh Gottheimer,House,NJ,MKTX,S,2017-08-21,2018-08-13,8000.5,357
D,Josh Gottheimer,House,NJ,NWL,S,2017-05-01,2018-08-13,8000.5,469
D,Josh Gottheimer,House,NJ,PFGC,P,2017-11-03,2018-08-13,8000.5,283
D,Josh Gottheimer,House,NJ,QTS,P,2017-04-27,2018-08-13,8000.5,473
D,Josh Gottheimer,House,NJ,SHW,S,2017-12-18,2018-08-13,8000.5,238
D,Josh Gottheimer,House,NJ,SHPG,P,2017-07-27,2018-08-13,8000.5,382
D,Josh Gottheimer,House,NJ,SHPG,P,2017-05-18,2018-08-13,8000.5,452
D,Josh Gottheimer,House,NJ,SNHY,S,2017-12-28,2018-08-13,8000.5,228
D,Josh Gottheimer,House,NJ,TGT,P,2017-05-01,2018-08-13,8000.5,469
D,Josh Gottheimer,House,NJ,PCLN,P,2017-08-17,2018-08-13,8000.5,361
D,Josh Gottheimer,House,NJ,VRTX,S,2017-08-10,2018-08-13,8000.5,368
D,Josh Gottheimer,House,NJ,VRTX,P,2017-04-13,2018-08-13,8000.5,487
D,Josh Gottheimer,House,NJ,CENT,P,2018-03-02,2018-10-02,8000.5,214
D,Josh Gottheimer,House,NJ,LLY,S,2018-02-22,2018-10-02,8000.5,222
D,Josh Gottheimer,House,NJ,EL,P,2018-01-19,2018-10-02,8000.5,256
D,Josh Gottheimer,House,NJ,FET,P,2018-01-18,2018-10-02,8000.5,257
D,Josh Gottheimer,House,NJ,GE,S,2018-02-07,2018-10-02,8000.5,237
D,Josh Gottheimer,House,NJ,GE,P,2018-01-18,2018-10-02,8000.5,257
D,Josh Gottheimer,House,NJ,GIS,S,2018-04-03,2018-10-02,8000.5,182
D,Josh Gottheimer,House,NJ,HEI,P,2018-04-04,2018-10-02,8000.5,181
D,Josh Gottheimer,House,NJ,INTC,S,2018-02-14,2018-10-02,8000.5,230
D,Josh Gottheimer,House,NJ,JNJ,P,2018-08-17,2018-10-02,8000.5,46
D,Josh Gottheimer,House,NJ,KS,P,2018-07-31,2018-10-02,8000.5,63
D,Josh Gottheimer,House,NJ,LVS,P,2018-01-18,2018-10-02,8000.5,257
D,Josh Gottheimer,House,NJ,LULU,P,2018-05-21,2018-10-02,8000.5,134
D,Josh Gottheimer,House,NJ,MSFT,P,2018-04-24,2018-10-02,8000.5,161
D,Josh Gottheimer,House,NJ,MITEY,S,2018-01-05,2018-10-02,8000.5,270
D,Josh Gottheimer,House,NJ,NKTR,S,2018-06-21,2018-10-02,8000.5,103
D,Josh Gottheimer,House,NJ,NFLX,P,2018-06-06,2018-10-02,8000.5,118
D,Josh Gottheimer,House,NJ,NVZMY,P,2018-03-16,2018-10-02,8000.5,200
D,Josh Gottheimer,House,NJ,PCTY,P,2018-09-21,2018-10-02,8000.5,11
D,Josh Gottheimer,House,NJ,PYPL,P,2018-03-21,2018-10-02,8000.5,195
D,Josh Gottheimer,House,NJ,RHT,P,2018-04-09,2018-10-02,8000.5,176
D,Josh Gottheimer,House,NJ,SPGI,S,2018-06-26,2018-10-02,8000.5,98
D,Josh Gottheimer,House,NJ,SHPG,P,2018-01-24,2018-10-02,8000.5,251
D,Josh Gottheimer,House,NJ,TMSNY,P,2018-05-31,2018-10-02,8000.5,124
D,Josh Gottheimer,House,NJ,PCLN,P,2018-02-07,2018-10-02,8000.5,237
D,Josh Gottheimer,House,NJ,TYL,S,2018-04-05,2018-10-02,8000.5,180
D,Josh Gottheimer,House,NJ,UPS,S,2018-04-03,2018-10-02,8000.5,182
D,Josh Gottheimer,House,NJ,UPS,P,2018-02-02,2018-10-02,8000.5,242
D,Josh Gottheimer,House,NJ,VMC,S,2018-07-24,2018-10-02,8000.5,70
D,Josh Gottheimer,House,NJ,WST,P,2018-01-08,2018-10-02,8000.5,267
D,Josh Gottheimer,House,NJ,LHCG,P,2018-09-25,2018-11-02,8000.5,38
D,Josh Gottheimer,House,NJ,SKY,P,2018-09-24,2018-11-02,8000.5,39
D,Josh Gottheimer,House,NJ,SCHW,S,2018-10-29,2018-11-16,8000.5,18
D,Josh Gottheimer,House,NJ,ILMN,S,2018-10-17,2018-11-16,8000.5,30
D,Josh Gottheimer,House,NJ,ISRG,P,2018-10-24,2018-11-16,8000.5,23
D,Josh Gottheimer,House,NJ,KS,S,2018-10-15,2018-11-16,8000.5,32
D,Josh Gottheimer,House,NJ,LULU,P,2018-10-29,2018-11-16,8000.5,18
D,Josh Gottheimer,House,NJ,MS,P,2018-10-12,2018-11-16,8000.5,35
D,Josh Gottheimer,House,NJ,NSC,P,2018-10-29,2018-11-16,8000.5,18
D,Josh Gottheimer,House,NJ,NVZMY,P,2018-10-11,2018-11-16,8000.5,36
D,Josh Gottheimer,House,NJ,VEEV,P,2018-10-17,2018-11-16,8000.5,30
D,Josh Gottheimer,House,NJ,CSLLY,S,2018-11-05,2018-12-13,8000.5,38
D,Josh Gottheimer,House,NJ,FMX,P,2018-11-09,2018-12-13,8000.5,34
D,Josh Gottheimer,House,NJ,KMTUY,P,2018-11-06,2018-12-13,8000.5,37
D,Josh Gottheimer,House,NJ,LIN,P,2018-11-29,2018-12-13,8000.5,14
D,Josh Gottheimer,House,NJ,MSFT,S,2018-11-28,2018-12-13,8000.5,15
D,Josh Gottheimer,House,NJ,NSRGY,P,2018-11-27,2018-12-13,8000.5,16
D,Josh Gottheimer,House,NJ,NSRGY,P,2018-11-28,2018-12-13,8000.5,15
D,Josh Gottheimer,House,NJ,TXN,P,2018-11-27,2018-12-13,8000.5,16
D,Josh Gottheimer,House,NJ,UPS,P,2018-11-06,2018-12-13,8000.5,37
D,Josh Gottheimer,House,NJ,WPP,S,2018-11-06,2018-12-13,8000.5,37
R,Frank A. LoBiondo,House,NJ,AAPL,P,2018-12-10,2018-12-17,8000.5,7
R,Frank A. LoBiondo,House,NJ,IBM,P,2018-12-10,2018-12-17,8000.5,7
R,Frank A. LoBiondo,House,NJ,QCOM,S,2018-12-10,2018-12-17,8000.5,7
D,Zoe Lofgren,House,CA,DOW,E,2017-09-01,2018-07-05,8000.5,307
D,Zoe Lofgren,House,CA,TWX,S,2018-06-13,2018-07-05,8000.5,22
D,Zoe Lofgren,House,CA,LLY,S,2018-08-30,2018-09-13,8000.5,14
D,Zoe Lofgren,House,CA,LII,S,2018-08-30,2018-09-13,8000.5,14
D,Zoe Lofgren,House,CA,VMC,S,2018-08-30,2018-09-13,8000.5,14
D,Zoe Lofgren,House,CA,CMA,P,2018-11-02,2018-12-14,8000.5,42
D,Zoe Lofgren,House,CA,ECL,P,2018-11-02,2018-12-14,8000.5,42
D,Zoe Lofgren,House,CA,TXN,S,2018-11-02,2018-12-14,8000.5,42
D,Alan S. Lowenthal,House,CA,BMRN,P,2018-04-26,2018-05-03,8000.5,7
D,Alan S. Lowenthal,House,CA,BMRN,P,2018-04-27,2018-05-03,8000.5,6
D,Alan S. Lowenthal,House,CA,SRE,P,2018-04-26,2018-05-03,8000.5,7
D,Alan S. Lowenthal,House,CA,SRE,P,2018-04-26,2018-05-03,,7
D,Alan S. Lowenthal,House,CA,DOV,S,2018-05-14,2018-05-22,8000.5,8
D,Alan S. Lowenthal,House,CA,OLED,P,2018-04-30,2018-05-22,8000.5,22
D,Alan S. Lowenthal,House,CA,OLED,P,2018-05-15,2018-05-22,8000.5,7
D,Alan S. Lowenthal,House,CA,CCI,S,2018-05-14,2018-05-22,8000.5,8
D,Alan S. Lowenthal,House,CA,WEX,S,2018-06-04,2018-06-10,8000.5,6
D,Alan S. Lowenthal,House,CA,BMRN,P,2018-06-05,2018-06-10,,5
D,Alan S. Lowenthal,House,CA,OLED,P,2018-05-29,2018-06-10,,12
D,Alan S. Lowenthal,House,CA,WEX,S,2018-06-04,2018-06-10,,6
D,Alan S. Lowenthal,House,CA,INFO,P,2018-06-26,2018-06-28,,2
D,Alan S. Lowenthal,House,CA,INFO,P,2018-06-20,2018-06-28,,8
D,Alan S. Lowenthal,House,CA,RHT,S,2018-07-11,2018-07-27,8000.5,16
D,Alan S. Lowenthal,House,CA,WEX,P,2018-07-20,2018-07-27,8000.5,7
D,Alan S. Lowenthal,House,CA,RHT,S,2018-07-11,2018-07-27,,16
D,Alan S. Lowenthal,House,CA,WEX,P,2018-07-20,2018-07-27,,7
D,Alan S. Lowenthal,House,CA,EFX,P,2018-07-31,2018-08-14,,14
D,Alan S. Lowenthal,House,CA,EFX,P,2018-07-31,2018-08-14,8000.5,14
D,Alan S. Lowenthal,House,CA,WEX,S,2018-07-23,2018-08-14,8000.5,22
D,Alan S. Lowenthal,House,CA,BIP,P,2018-07-31,2018-08-14,8000.5,14
D,Alan S. Lowenthal,House,CA,RDS.B,S,2018-07-30,2018-08-14,8000.5,15
D,Alan S. Lowenthal,House,CA,EFX,P,2018-07-30,2018-08-14,,15
D,Alan S. Lowenthal,House,CA,FB,P,2018-07-31,2018-08-14,,14
D,Alan S. Lowenthal,House,CA,WEX,S,2018-07-23,2018-08-14,,22
D,Alan S. Lowenthal,House,CA,RDS.B,S,2018-07-30,2018-08-15,,16
D,Alan S. Lowenthal,House,CA,ATVI,P,2018-08-20,2018-09-01,8000.5,12
D,Alan S. Lowenthal,House,CA,RHT,P,2018-08-29,2018-09-09,8000.5,11
D,Alan S. Lowenthal,House,CA,MLM,S,2018-09-24,2018-10-03,,9
D,Alan S. Lowenthal,House,CA,ATVI,P,2018-10-24,2018-11-04,8000.5,11
D,Alan S. Lowenthal,House,CA,DWDP,P,2018-10-24,2018-11-04,,11
D,Alan S. Lowenthal,House,CA,SRE,S,2018-10-23,2018-11-04,8000.5,12
D,Alan S. Lowenthal,House,CA,SRE,P,2018-10-25,2018-11-04,,10
D,Alan S. Lowenthal,House,CA,DWDP,P,2018-10-24,2018-11-04,8000.5,11
D,Alan S. Lowenthal,House,CA,SRE,S,2018-10-23,2018-11-04,,12
D,Alan S. Lowenthal,House,CA,SRE,P,2018-10-24,2018-11-04,8000.5,11
D,Alan S. Lowenthal,House,CA,APTV,S,2018-10-29,2018-11-17,8000.5,19
D,Alan S. Lowenthal,House,CA,OLED,P,2018-11-02,2018-11-17,,15
D,Alan S. Lowenthal,House,CA,APTV,S,2018-10-29,2018-11-17,,19
D,Alan S. Lowenthal,House,CA,OLED,P,2018-11-07,2018-11-17,8000.5,10
D,Alan S. Lowenthal,House,CA,INFO,S,2018-11-12,2018-11-20,8000.5,8
D,Alan S. Lowenthal,House,CA,NVS,P,2018-11-29,2018-12-09,,10
D,Alan S. Lowenthal,House,CA,NVS,P,2018-11-29,2018-12-11,8000.5,12
D,Alan S. Lowenthal,House,CA,UNH,P,2018-11-30,2018-12-11,8000.5,11
D,Alan S. Lowenthal,House,CA,BIP,S,2018-11-14,2018-12-12,8000.5,28
D,Alan S. Lowenthal,House,CA,APD,P,2018-12-04,2018-12-30,8000.5,26
D,Alan S. Lowenthal,House,CA,ZAYO,P,2018-12-21,2018-12-30,8000.5,9
D,Alan S. Lowenthal,House,CA,ZAYO,P,2018-12-21,2018-12-30,,9
D,Thomas MacArthur,House,NJ,ETP,S,2018-04-03,2018-05-10,,37
D,Thomas MacArthur,House,NJ,EPD,P,2018-04-03,2018-05-10,,37
D,Thomas MacArthur,House,NJ,EMB,P,2018-04-25,2018-05-10,8000.5,15
D,Thomas MacArthur,House,NJ,PFF,P,2018-04-25,2018-05-10,,15
D,Thomas MacArthur,House,NJ,NYLD,P,2018-04-25,2018-05-10,8000.5,15
D,Thomas MacArthur,House,NJ,XLF,P,2018-04-18,2018-05-10,,22
D,Thomas MacArthur,House,NJ,STI,P,2018-04-17,2018-05-10,8000.5,23
D,Thomas MacArthur,House,NJ,TXN,P,2018-04-03,2018-05-10,8000.5,37
D,Thomas MacArthur,House,NJ,UNP,P,2018-04-02,2018-05-10,8000.5,38
D,Thomas MacArthur,House,NJ,EMLC,P,2018-04-25,2018-05-10,8000.5,15
D,Thomas MacArthur,House,NJ,ACN,P,2018-05-15,2018-06-05,8000.5,21
D,Thomas MacArthur,House,NJ,BIIB,P,2018-05-02,2018-06-05,8000.5,34
D,Thomas MacArthur,House,NJ,MITEY,S,2018-05-24,2018-06-05,8000.5,12
D,Thomas MacArthur,House,NJ,NUAN,P,2018-05-10,2018-06-05,8000.5,26
D,Thomas MacArthur,House,NJ,NVT,E,2018-05-01,2018-06-05,8000.5,35
D,Thomas MacArthur,House,NJ,PCRFY,S,2018-05-17,2018-06-05,8000.5,19
D,Thomas MacArthur,House,NJ,TTM,S,2018-05-16,2018-06-05,8000.5,20
D,Thomas MacArthur,House,NJ,TXN,P,2018-05-21,2018-06-05,8000.5,15
D,Thomas MacArthur,House,NJ,ARLP,E,2018-06-01,2018-07-10,,39
D,Thomas MacArthur,House,NJ,AMN,P,2018-06-07,2018-07-10,,33
D,Thomas MacArthur,House,NJ,AZPN,P,2018-06-07,2018-07-10,,33
D,Thomas MacArthur,House,NJ,BAYRY,P,2018-06-07,2018-07-10,,33
D,Thomas MacArthur,House,NJ,CSL,P,2018-06-07,2018-07-10,,33
D,Thomas MacArthur,House,NJ,CPRT,P,2018-06-11,2018-07-10,8000.5,29
D,Thomas MacArthur,House,NJ,CLB,P,2018-06-07,2018-07-10,,33
D,Thomas MacArthur,House,NJ,CTRP,P,2018-06-07,2018-07-10,,33
D,Thomas MacArthur,House,NJ,EXPD,P,2018-06-07,2018-07-10,,33
D,Thomas MacArthur,House,NJ,RSP,P,2018-06-01,2018-07-10,8000.5,39
D,Thomas MacArthur,House,NJ,LQD,S,2018-06-13,2018-07-10,,27
D,Thomas MacArthur,House,NJ,LQD,S,2018-06-13,2018-07-10,8000.5,27
